UNK_0x1A5A491D253EA7BA, 972802
UNK_0xD803B885F5E47A62, 937460
UNK_0xEAE0D21A50E6C7F4, 725308
UNK_0x16F2683693E537C9, 624508
UNK_0x5D96D8530B3D0904, 506826
SYSTEM::TO_FLOAT, 363142
UNK_0x38C3A68D7861DCFD, 245790
UNK_0xC844350D5D58C99A, 241610
SYSTEM::ROUND, 234224
UNK_0x0674E58A79778E99, 220594
UNK_0xFDEBA3FD0BF0D4AC, 196962
UNK_0x134B62B726CEC8E6, 184582
SYSTEM::FLOOR, 118324
UNK_0x437347B10A200C4B, 111838
UNK_0x12AB0310C2281427, 100862
UNK_0x6937EA2286828455, 100414
UNK_0x405E212DDE472467, 98164
UNK_0x64F9F278AB9DCA2C, 97188
UNK_0xEB6A8945D1AC98A1, 90854
UNK_0x68F4C0EC296D3901, 89710
UNK_0x8A01F93D41A7B4C6, 83160
UNK_0x1C0640BA9A7327B3, 59796
UNK_0x9539D44F3E4492F6, 56530
UNK_0xDF1306B443CD3D15, 56344
UNK_0x8CD06866876216F2, 50866
UNK_0x7F8A39872A07D2CE, 47412
UNK_0xEA6BC48857E0AC4C, 40968
UNK_0x6D63D77257071BC5, 39192
UNK_0x3CAEA85DA607305E, 38192
UNK_0x04D746E8DA20611E, 36570
UNK_0xD1960163A3042274, 35512
UNK_0x36C584991B4C183F, 34484
UNK_0x83FACCC48B68F9D1, 33396
UNK_0x7619952D26DF7783, 32774
UNK_0x2B6E0A53779D29EA, 31844
UNK_0x4E885A246A9D983A, 31180
UNK_0x1E9649458B15960F, 31032
UNK_0x4906F8A34E9F4814, 30902
UNK_0xE1DF46BF5E90E528, 28968
UNK_0xA30B8362589C124A, 28680
UNK_0xDADA8E1DD0D0D9D9, 28172
SYSTEM::VDIST2, 27628
UNK_0xD9522BA9E27E1349, 27494
SYSTEM::VDIST, 27244
UNK_0x5748837B16D6E66B, 27030
UNK_0x6FB46C25CCB7E6D5, 26992
UNK_0x4D7F4CC43D4D0DE3, 26932
UNK_0x117658E336116132, 25972
UNK_0xA14BB9332558B949, 25508
UNK_0x08067D4957B73C02, 25368
UNK_0xE4EDC4B0E92C078B, 25234
UNK_0xE082EE0DCA9466C4, 25020
UNK_0x71199B01895C6202, 24568
UNK_0x4A4806F9D471E491, 23758
UNK_0x28499614F961F168, 23472
UNK_0xCCF7782CBFDE8C04, 23472
UNK_0x09AC81E49EA267F7, 23272
UNK_0xAFE0D3608EDA7039, 23260
UNK_0xB87F6CF6E5628C67, 22586
UNK_0x523BCC9DC80CD82F, 21712
UNK_0xE121AE1BBF90E186, 21712
UNK_0xC42A92762C58E1B9, 21484
UNK_0x7E60C62A7CE58FC8, 21450
UNK_0x7E60D21B163E9D56, 21200
UNK_0xD06AC7C87A34A6AD, 21174
SYSTEM::VMAG, 20322
UNK_0x0399732A9EBC368E, 20018
UNK_0x3D1053F9EB43B7AD, 19442
UNK_0x0ECB5CA5140957AD, 19334
UNK_0x20641932E5104B25, 19148
UNK_0xA37A90C62806D848, 19030
UNK_0x757EF87A33649210, 18906
